Ano,Mes,Hospital_CNPJ,Qtd_Pacientes,Pico_Simultaneo_Estimado,LOS_Medio_H,Gravidade_Media
2023,8,104400000228.0,295,201,496.1084745762712,4.3830508474576275
2023,8,19843929001000.0,274,100,260.84671532846716,3.394160583941606
2023,8,21177373000102.0,10,3,24.0,3.0
2023,8,21554423000123.0,216,35,95.55555555555556,3.611111111111111
2023,8,21575709000195.0,692,65,139.97687861271677,3.5491329479768785
2023,8,21583042000172.0,1099,163,143.8252957233849,3.7497725204731576
2023,8,21599824000108.0,104,30,210.92307692307693,4.346153846153846
2023,8,22488241000245.0,449,64,76.48997772828508,3.507795100222717
2023,8,26000523000121.0,244,52,150.0983606557377,4.19672131147541
2023,8,104400000228.0,282,190,460.59574468085106,4.404255319148936
2023,8,19843929001000.0,490,111,239.60816326530613,3.4244897959183676
2023,8,21177373000102.0,11,4,24.0,3.3636363636363638
2023,8,21554423000123.0,193,40,92.51813471502591,3.7253886010362693
2023,8,21575709000195.0,718,62,153.55988857938718,3.6239554317548746
2023,8,21583042000172.0,1008,143,127.0952380952381,3.6904761904761907
2023,8,21599824000108.0,101,33,236.43564356435644,4.306930693069307
2023,8,22488241000245.0,461,63,78.50759219088937,3.581344902386117
2023,8,26000523000121.0,251,43,137.21115537848607,4.051792828685259
2023,12,104400000228.0,257,178,509.78988326848247,4.400778210116732
2023,12,19843929001000.0,361,100,234.0831024930748,3.554016620498615
2023,12,21177373000102.0,8,2,24.0,3.0
2023,12,21554423000123.0,208,36,96.23076923076923,3.7115384615384617
2023,12,21575709000195.0,808,78,166.3960396039604,3.613861386138614
2023,12,21583042000172.0,1024,129,148.734375,3.77734375
2023,12,21599824000108.0,114,32,205.68421052631578,4.2631578947368425
2023,12,22488241000245.0,468,65,98.41025641025641,3.8290598290598292
2023,12,26000523000121.0,262,54,141.25190839694656,4.404580152671755
2023,1,104400000228.0,285,191,497.09473684210525,4.431578947368421
2023,1,19843929001000.0,310,80,217.6258064516129,3.2580645161290325
2023,1,21177373000102.0,9,5,24.0,3.0
2023,1,21554423000123.0,215,38,84.50232558139535,3.7069767441860466
2023,1,21575709000195.0,648,74,168.07407407407408,3.4814814814814814
2023,1,21583042000172.0,1059,160,152.22662889518415,3.8271954674220963
2023,1,21599824000108.0,81,21,220.44444444444446,4.135802469135802
2023,1,22488241000245.0,451,65,99.35254988913526,3.869179600886918
2023,1,26000523000121.0,239,25,108.15062761506276,4.405857740585774
2022,12,104400000228.0,266,195,492.09022556390977,4.428571428571429
2022,12,19843929001000.0,266,95,277.17293233082705,3.3609022556390977
2022,12,21177373000102.0,3,2,24.0,3.0
2022,12,21554423000123.0,178,37,82.51685393258427,3.606741573033708
2022,12,21575709000195.0,568,85,183.6338028169014,3.647887323943662
2022,12,21583042000172.0,1078,174,147.20593692022263,3.8274582560296846
2022,12,21599824000108.0,86,28,241.67441860465115,4.255813953488372
2022,12,22488241000245.0,448,66,88.60714285714286,3.607142857142857
2022,12,26000523000121.0,252,35,160.76190476190476,4.253968253968254
2023,2,104400000228.0,279,189,493.16129032258067,4.362007168458781
2023,2,19843929001000.0,492,113,278.0,3.4634146341463414
2023,2,21177373000102.0,3,1,24.0,3.0
2023,2,21554423000123.0,222,34,92.32432432432432,3.630630630630631
2023,2,21575709000195.0,621,67,171.7487922705314,3.5925925925925926
2023,2,21583042000172.0,1066,179,139.33958724202625,3.776735459662289
2023,2,21599824000108.0,88,30,204.8181818181818,4.0
2023,2,22488241000245.0,447,70,84.51006711409396,3.6085011185682325
2023,2,26000523000121.0,357,31,115.69747899159664,4.288515406162465
2023,4,104400000228.0,292,192,473.83561643835617,4.698630136986301
2023,4,19843929001000.0,388,113,224.35051546391753,3.3608247422680413
2023,4,21177373000102.0,5,2,24.0,3.0
2023,4,21554423000123.0,189,35,89.14285714285714,3.8253968253968256
2023,4,21575709000195.0,601,88,194.1963394342762,3.5856905158069883
2023,4,21583042000172.0,1125,169,144.34133333333332,3.7573333333333334
2023,4,21599824000108.0,85,25,223.05882352941177,4.6
2023,4,22488241000245.0,453,65,77.03311258278146,3.6357615894039736
2023,4,26000523000121.0,248,33,152.1290322580645,4.161290322580645
2023,5,104400000228.0,287,184,487.4425087108014,4.477351916376307
2023,5,19843929001000.0,401,116,257.1172069825436,3.3291770573566084
2023,5,21177373000102.0,6,3,24.0,4.333333333333333
2023,5,21554423000123.0,177,29,76.0677966101695,3.6553672316384183
2023,5,21575709000195.0,646,70,161.57275541795664,3.513931888544892
2023,5,21583042000172.0,1040,131,130.2,3.65
2023,5,21599824000108.0,93,26,206.96774193548387,4.247311827956989
2023,5,22488241000245.0,451,63,88.23059866962306,3.5853658536585367
2023,5,26000523000121.0,245,30,161.43673469387755,4.208163265306123
2023,5,104400000228.0,282,180,462.3829787234043,4.574468085106383
2023,5,19843929001000.0,463,127,229.89200863930884,3.345572354211663
2023,5,21177373000102.0,4,3,24.0,3.0
2023,5,21554423000123.0,256,34,97.5,3.890625
2023,5,21575709000195.0,601,93,184.45257903494178,3.725457570715474
2023,5,21583042000172.0,1077,171,152.37883008356545,3.809656453110492
2023,5,21599824000108.0,88,29,227.45454545454547,4.2727272727272725
2023,5,22488241000245.0,447,59,82.57718120805369,3.635346756152125
2023,5,26000523000121.0,303,43,133.7029702970297,4.016501650165017
2023,6,104400000228.0,294,190,478.44897959183675,4.578231292517007
2023,6,19843929001000.0,400,114,226.74,3.39
2023,6,21177373000102.0,2,1,24.0,3.0
2023,6,21554423000123.0,175,29,84.89142857142858,3.8457142857142856
